asthma_COUNTY,asthma_YEAR,asthma_STRATA,asthma_STRATA NAME,asthma_AGE GROUP,asthma_NUMBER OF ED VISITS,asthma_AGE-ADJUSTED ED VISIT RATE,asthma_COMMENT,aqi_State,aqi_County,aqi_Year,aqi_Days with AQI,aqi_Good Days,aqi_Moderate Days,aqi_Unhealthy for Sensitive Groups Days,aqi_Unhealthy Days,aqi_Very Unhealthy Days,aqi_Hazardous Days,aqi_Max AQI,aqi_90th Percentile AQI,aqi_Median AQI,aqi_Days CO,aqi_Days NO2,aqi_Days Ozone,aqi_Days PM2.5,aqi_Days PM10
Alameda,2015,Total population,All ages,All ages,9939,64.3,,California,Alameda,2015,365,214,139,12,0,0,0,147,76,46,0,15,180,170,0
Alpine,2015,Total population,All ages,All ages,0,0,,California,Alpine,2015,31,1,14,13,3,0,0,170,149,102,0,0,0,31,0
Amador,2015,Total population,All ages,All ages,196,58.4,,California,Amador,2015,364,283,73,8,0,0,0,140,67,41,0,0,364,0,0
Butte,2015,Total population,All ages,All ages,1044,50.2,,California,Butte,2015,365,170,182,12,1,0,0,152,84,52,0,0,237,127,1
Calaveras,2015,Total population,All ages,All ages,185,48,,California,Calaveras,2015,365,245,98,18,2,1,1,320,90,45,0,0,274,91,0
Colusa,2015,Total population,All ages,All ages,97,41.4,,California,Colusa,2015,365,229,130,4,2,0,0,191,70,46,0,0,154,208,3
Contra Costa,2015,Total population,All ages,All ages,6858,65.2,,California,Contra Costa,2015,365,258,99,8,0,0,0,147,67,44,0,7,213,145,0
Del Norte,2015,Total population,All ages,All ages,140,53,,California,Del Norte,2015,114,106,8,0,0,0,0,69,39,15,0,0,0,114,0
El Dorado,2015,Total population,All ages,All ages,592,36.4,,California,El Dorado,2015,365,239,102,22,2,0,0,166,93,44,0,0,350,5,10
Fresno,2015,Total population,All ages,All ages,7936,77,,California,Fresno,2015,365,60,203,78,23,1,0,205,136,80,0,0,227,133,5
Glenn,2015,Total population,All ages,All ages,122,42.6,,California,Glenn,2015,365,257,108,0,0,0,0,93,67,44,0,0,243,99,23
